# T3 paper plot-ready diagnostic metrics — per-seed, both groups in one file
# group: mhqa = ClueWeb runs on hotpotqa/musique/2wiki/bamboogle/frames (5 datasets × 5 models)
#        reasoning = Serper runs on gaia/hle/webwalker (3 datasets × 4 models)
# condition: naive_k4 | div_k4 | naive_k8 | div_k8 (k=4 or k=8 parallel only)
# seeds: 1, 2, 3 (consistent across cells; older 5-seed runs trimmed for fair error bars)
# Paper-facing rename (from metric_names.txt): QPD, ITC, ATC column = ATD
group,model,dataset,condition,k,seed,num_questions,QPD,ITC,ATC
mhqa,qwen3-1.7b,hotpotqa,naive_k4,4,2,512,0.324057130859375,0.3579473945312501,0.323640607421875
mhqa,qwen3-1.7b,hotpotqa,naive_k4,4,3,512,0.312617517578125,0.3547211875,0.3122628886718749
mhqa,qwen3-1.7b,hotpotqa,naive_k8,8,1,512,0.4038559218749997,0.4990685410156251,0.4023176660156246
mhqa,qwen3-1.7b,hotpotqa,naive_k8,8,2,512,0.4010669042968749,0.505666265625,0.3961247519531251
mhqa,qwen3-1.7b,hotpotqa,naive_k8,8,3,512,0.4148269511718752,0.4712085253906251,0.4107381542968753
mhqa,qwen3-1.7b,musique,div_k4,4,1,512,0.5873674511718746,0.5037074531250002,0.5177367890624999
mhqa,qwen3-1.7b,musique,div_k4,4,2,512,0.5920126542968753,0.5112360898437506,0.5236486269531252
mhqa,qwen3-1.7b,musique,div_k4,4,3,512,0.5866190859374998,0.51787684375,0.5190722128906248
mhqa,qwen3-1.7b,musique,div_k8,8,1,512,0.5256975703125002,0.526561533203125,0.4275162539062504
mhqa,qwen3-1.7b,musique,div_k8,8,2,512,0.5345373437500006,0.5216500292968752,0.4764323710937503
mhqa,qwen3-1.7b,musique,div_k8,8,3,512,0.5337035000000002,0.5241494121093752,0.4715611074218749
mhqa,qwen3-1.7b,musique,naive_k4,4,1,512,0.222545228515625,0.7145390039062504,0.232595677734375
mhqa,qwen3-1.7b,musique,naive_k4,4,2,512,0.2227507929687499,0.7161018476562494,0.2317951660156249
mhqa,qwen3-1.7b,musique,naive_k4,4,3,512,0.222202142578125,0.7171477890625001,0.234489703125
mhqa,qwen3-1.7b,musique,naive_k8,8,1,512,0.2167874589843751,0.738198791015625,0.22801778125
mhqa,qwen3-1.7b,musique,naive_k8,8,2,512,0.22686119140625,0.7317608437500003,0.237111974609375
mhqa,qwen3-1.7b,musique,naive_k8,8,3,512,0.219133548828125,0.7312824550781256,0.2328663359375
mhqa,qwen3-4b,2wikimultihopqa,div_k4,4,1,512,0.7194861914062496,0.094795712890625,0.7181392656249993
mhqa,qwen3-4b,2wikimultihopqa,div_k4,4,2,512,0.7099340546874997,0.09696696875,0.7082771503906246
mhqa,qwen3-4b,2wikimultihopqa,div_k4,4,3,512,0.7148673574218752,0.0958715136718749,0.7132077929687503
mhqa,qwen3-4b,2wikimultihopqa,div_k8,8,1,512,0.6506829003906247,0.1732188535156249,0.6484208339843748
mhqa,qwen3-4b,2wikimultihopqa,div_k8,8,2,512,0.6520156289062502,0.1769952753906249,0.6495453281249999
mhqa,qwen3-4b,2wikimultihopqa,div_k8,8,3,512,0.656766208984375,0.1826500878906249,0.654109552734375
mhqa,qwen3-4b,2wikimultihopqa,naive_k4,4,1,512,0.107017287109375,0.063696568359375,0.107385087890625
mhqa,qwen3-4b,2wikimultihopqa,naive_k4,4,2,512,0.126724375,0.062937083984375,0.127626220703125
mhqa,qwen3-4b,2wikimultihopqa,naive_k4,4,3,512,0.1205184882812499,0.0581908242187499,0.1211902617187499
mhqa,qwen3-4b,2wikimultihopqa,naive_k8,8,1,512,0.1395409707031248,0.1098174257812499,0.1400805937499998
mhqa,qwen3-4b,2wikimultihopqa,naive_k8,8,2,512,0.1377180605468749,0.0936849453124999,0.1388454316406249
mhqa,qwen3-4b,2wikimultihopqa,naive_k8,8,3,512,0.135044615234375,0.1051991757812499,0.1347305625
mhqa,qwen3-4b,bamboogle,div_k4,4,1,125,0.6854597279999999,0.2156715199999999,0.6749440639999998
mhqa,qwen3-4b,bamboogle,div_k4,4,2,125,0.6841877439999998,0.202253768,0.673662656
mhqa,qwen3-4b,bamboogle,div_k4,4,3,125,0.687780728,0.231882536,0.673019888
mhqa,qwen3-4b,bamboogle,div_k8,8,1,125,0.623536984,0.304632256,0.6110785200000002
mhqa,qwen3-4b,bamboogle,div_k8,8,2,125,0.6290492480000002,0.286324456,0.6139415280000001
mhqa,qwen3-4b,bamboogle,div_k8,8,3,125,0.6177728399999999,0.310895552,0.606534504
mhqa,qwen3-4b,bamboogle,naive_k4,4,1,125,0.098143784,0.1676,0.099371384
mhqa,qwen3-4b,bamboogle,naive_k4,4,2,125,0.091973152,0.144862344,0.091682112
mhqa,qwen3-4b,bamboogle,naive_k4,4,3,125,0.10529424,0.163489104,0.105282208
mhqa,qwen3-4b,bamboogle,naive_k8,8,1,125,0.095190552,0.18917192,0.093844872
mhqa,qwen3-4b,bamboogle,naive_k8,8,2,125,0.1032495039999999,0.218677712,0.1025423599999999
mhqa,qwen3-4b,bamboogle,naive_k8,8,3,125,0.0998209279999999,0.192816312,0.0992656639999999
mhqa,qwen3-4b,frames,div_k4,4,1,824,0.6694093580097086,0.4429767718446601,0.6408700570388349
mhqa,qwen3-4b,frames,div_k4,4,2,824,0.6716314648058246,0.4190117475728155,0.6377252402912625
mhqa,qwen3-4b,frames,div_k4,4,3,824,0.6714115970873785,0.4267984041262143,0.6398264332524265
mhqa,qwen3-4b,frames,div_k8,8,1,824,0.6122714405339801,0.4892972572815536,0.5822526043689318
mhqa,qwen3-4b,frames,div_k8,8,2,824,0.6090635570388346,0.4837633847087381,0.58266636407767
mhqa,qwen3-4b,frames,div_k8,8,3,824,0.6127233932038839,0.4850207900485438,0.5844428325242724
mhqa,qwen3-4b,frames,naive_k4,4,1,824,0.1212047536407766,0.465985001213592,0.1220495691747572
mhqa,qwen3-4b,frames,naive_k4,4,2,824,0.118763572815534,0.4545570788834953,0.1181343580097087
mhqa,qwen3-4b,frames,naive_k4,4,3,824,0.1219136262135921,0.4464024587378639,0.1208415728155338
mhqa,qwen3-4b,frames,naive_k8,8,1,824,0.1209375230582523,0.5146271152912619,0.1201669114077669
mhqa,qwen3-4b,frames,naive_k8,8,2,824,0.1208809720873785,0.5207491274271847,0.1199667415048542
mhqa,qwen3-4b,frames,naive_k8,8,3,824,0.1225745776699029,0.5081117160194173,0.1210131298543689
mhqa,qwen3-4b,hotpotqa,div_k4,4,1,512,0.6782384746093747,0.0852513007812499,0.6769321953124997
mhqa,qwen3-4b,hotpotqa,div_k4,4,2,512,0.6803935351562493,0.077467720703125,0.6791010429687494
mhqa,qwen3-4b,hotpotqa,div_k4,4,3,512,0.6799164765625002,0.07033318359375,0.6791418730468752
mhqa,qwen3-4b,hotpotqa,div_k8,8,1,512,0.622911646484375,0.142066712890625,0.62203683984375
mhqa,qwen3-4b,hotpotqa,div_k8,8,2,512,0.6209828789062511,0.110743068359375,0.6198838476562509
mhqa,qwen3-4b,hotpotqa,div_k8,8,3,512,0.6222377031249998,0.127356255859375,0.6210907929687498
mhqa,qwen3-4b,hotpotqa,naive_k4,4,1,512,0.1027138906249999,0.06257240234375,0.1036210136718749
mhqa,qwen3-4b,hotpotqa,naive_k4,4,2,512,0.11678890234375,0.06842158203125,0.1176764960937499
mhqa,qwen3-4b,hotpotqa,naive_k4,4,3,512,0.10033859375,0.057967970703125,0.1005833417968749
mhqa,qwen3-4b,hotpotqa,naive_k8,8,1,512,0.1233068359374999,0.0915312148437499,0.124445326171875
mhqa,qwen3-4b,hotpotqa,naive_k8,8,2,512,0.1283614804687499,0.0915627207031249,0.1293007558593749
